Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HomePage,Chrome 115.0.0.0,,,2023-08-17 10:42:10,2023-08-17 11:06:46,24m - 35.131s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_001,Chrome 115.0.0.0,To Verify that user is able to the access the site by typing Redesign URL in the browse.,,2023-08-17 10:42:11,2023-08-17 10:45:38,3m - 27.535s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-17 10:42:11,2023-08-17 10:42:15,3.900s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-17 10:42:15,2023-08-17 10:45:36,3m - 20.316s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-17 10:45:36,2023-08-17 10:45:36,0.832s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 115.0.0.0,,,2023-08-17 10:45:36,2023-08-17 10:45:37,0.686s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-17 10:45:37,2023-08-17 10:45:38,1.196s,PASSED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_002,Chrome 115.0.0.0,"To verify  that system display the following link in the header
1.Departmentos
2.Marcas
3.Credito
4.Mesa de regalosa 
5.Search text box
6.Iniciar sesion
7.Ubica tu tienda 
8.Mis pedidos
9.Ayuda",,2023-08-17 10:45:38,2023-08-17 10:47:26,1m - 47.775s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-17 10:45:39,2023-08-17 10:45:41,1.805s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-17 10:45:41,2023-08-17 10:46:54,1m - 12.954s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-17 10:46:54,2023-08-17 10:46:54,0.320s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 115.0.0.0,,,2023-08-17 10:46:54,2023-08-17 10:47:26,31.865s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_006,Chrome 115.0.0.0,"To verify that the user is navigated to  “Mesa de Regalos"" page by clicking on the  “Mesa de Regalos"" link on the header section.",,2023-08-17 10:47:26,2023-08-17 10:49:32,2m - 5.634s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-17 10:47:27,2023-08-17 10:47:29,2.328s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-17 10:47:29,2023-08-17 10:48:59,1m - 30.394s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-17 10:48:59,2023-08-17 10:49:00,0.343s,PASSED
"verifyElementClickable(findTestObject(""HomePage/Mesa de regalos_HP""))",Chrome 115.0.0.0,,,2023-08-17 10:49:00,2023-08-17 10:49:32,32.062s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_007,Chrome 115.0.0.0,To verify the display of Login overlay when Anonymous user click on  Iniciar sesion link,,2023-08-17 10:49:32,2023-08-17 10:51:06,1m - 34.302s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-17 10:49:32,2023-08-17 10:49:35,2.744s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-17 10:49:35,2023-08-17 10:50:34,59.077s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-17 10:50:34,2023-08-17 10:50:34,0.338s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-17 10:50:34,2023-08-17 10:51:06,31.696s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_008,Chrome 115.0.0.0,"To verify that the user is navigated to  ""Tiendas""( Store locator) page by clicking on the  “Ubica tu tienda "" link on the header section.",,2023-08-17 10:51:06,2023-08-17 10:56:12,5m - 5.657s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-17 10:51:08,2023-08-17 10:51:11,3.516s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-17 10:51:11,2023-08-17 10:56:12,5m - 0.685s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_010,Chrome 115.0.0.0,"To verify that the logged in user is navigated to  “Mis pedidos"" page by clicking on the  “Mis pedidos"" link on the header section.",,2023-08-17 10:56:12,2023-08-17 10:58:52,2m - 39.725s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-17 10:56:13,2023-08-17 10:56:17,4.261s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-17 10:56:17,2023-08-17 10:58:18,2m - 1.253s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-17 10:58:18,2023-08-17 10:58:18,0.169s,PASSED
"callTestCase(findTestCase(""CommonMethods/login_odtaqab""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-17 10:58:18,2023-08-17 10:58:52,33.280s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_011,Chrome 115.0.0.0,"To verify that the user is navigated to  ""Ayuda""( Help) page by clicking on the  “Ayuda"" link on the header section.",,2023-08-17 10:58:52,2023-08-17 10:59:14,22.161s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-17 10:58:52,2023-08-17 10:58:55,2.821s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-17 10:58:55,2023-08-17 10:59:14,18.476s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-17 10:59:14,2023-08-17 10:59:14,0.081s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_014,Chrome 115.0.0.0,"To verify the display of user first name (as ""Hola abc! "") in the header when logged in user successfully logged in to the site",,2023-08-17 10:59:14,2023-08-17 11:05:11,5m - 57.170s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-17 10:59:15,2023-08-17 10:59:17,2.768s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-17 10:59:17,2023-08-17 11:01:29,2m - 11.209s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-17 11:01:29,2023-08-17 11:01:29,0.473s,PASSED
"callTestCase(findTestCase(""CommonMethods/login_odtaqab""), [:], OPTIONAL)",Chrome 115.0.0.0,,,2023-08-17 11:01:29,2023-08-17 11:03:02,1m - 32.688s,PASSED
"mouseOver(findTestObject(""HomePage/AfterLogin_Homepage""))",Chrome 115.0.0.0,,,2023-08-17 11:03:02,2023-08-17 11:04:16,1m - 13.999s,PASSED
"click(findTestObject(""AccountManagement/MyAccountButton_Account""))",Chrome 115.0.0.0,,,2023-08-17 11:04:16,2023-08-17 11:04:17,0.897s,PASSED
"click(findTestObject(""AccountManagement/UpdatePeronalData_Account""))",Chrome 115.0.0.0,,,2023-08-17 11:04:17,2023-08-17 11:04:56,39.436s,PASSED
"verifyElementPresent(findTestObject(""AccountManagement/firstName_update_accountManagement""), 0)",Chrome 115.0.0.0,,,2023-08-17 11:04:56,2023-08-17 11:05:02,5.476s,PASSED
delay(5),Chrome 115.0.0.0,,,2023-08-17 11:05:02,2023-08-17 11:05:07,5.003s,PASSED
"Name = ""harish""",Chrome 115.0.0.0,,,2023-08-17 11:05:07,2023-08-17 11:05:07,0.000s,PASSED
"click(findTestObject(""AccountManagement/firstName_update_accountManagement""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-17 11:05:07,2023-08-17 11:05:07,0.558s,PASSED
"clearText(findTestObject(""AccountManagement/firstName_update_accountManagement""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-17 11:05:07,2023-08-17 11:05:08,0.552s,PASSED
"sendKeys(findTestObject(""AccountManagement/firstName_update_accountManagement""), Keys.chord(CONTROL, ""a""))",Chrome 115.0.0.0,,,2023-08-17 11:05:08,2023-08-17 11:05:08,0.551s,PASSED
"setText(findTestObject(""AccountManagement/firstName_update_accountManagement""), Name)",Chrome 115.0.0.0,,,2023-08-17 11:05:08,2023-08-17 11:05:10,1.880s,PASSED
out.println(Name),Chrome 115.0.0.0,,,2023-08-17 11:05:10,2023-08-17 11:05:10,0.016s,PASSED
"verifyElementText(findTestObject(""HomePage/header_Hola_text_HP""), ""Hola "" + Name)",Chrome 115.0.0.0,,,2023-08-17 11:05:10,2023-08-17 11:05:11,0.752s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_015,Chrome 115.0.0.0,"To verify the display of following links by mouse over on the ""User name""  link on the header section.
 -  Mi cuenta
-  Mis pedidos
-  Mi tiempo Aire
-  Mis tarjetas
-  Cerrar sesion",,2023-08-17 11:05:11,2023-08-17 11:06:46,1m - 34.696s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-17 11:05:11,2023-08-17 11:05:14,2.793s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-17 11:05:14,2023-08-17 11:06:05,51.068s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-17 11:06:05,2023-08-17 11:06:06,0.369s,PASSED
"callTestCase(findTestCase(""CommonMethods/login_odtaqab""), [:], OPTIONAL)",Chrome 115.0.0.0,,,2023-08-17 11:06:06,2023-08-17 11:06:43,37.450s,PASSED
"mouseOver(findTestObject(""HomePage/header_Hola_text_HP""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-17 11:06:43,2023-08-17 11:06:46,2.413s,FAILED
