Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ShopingCart,Chrome 116.0.0.0,,,2023-09-04 08:33:58,2023-09-04 08:43:23,9m - 24.421s,FAILED
,,,,,,,
Test Cases/ShoppingCart/TS_SMOKE_SUITE_026,Chrome 116.0.0.0,"To verify that for Anonymous user system display the Login overlay after clicking on the ""Pagar"" button during checkout",,2023-09-04 08:34:44,2023-09-04 08:37:41,2m - 56.596s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 116.0.0.0,,,2023-09-04 08:34:45,2023-09-04 08:35:42,57.786s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SL], STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-09-04 08:35:43,2023-09-04 08:35:53,10.061s,PASSED
waitForPageLoad(0),Chrome 116.0.0.0,,,2023-09-04 08:35:53,2023-09-04 08:35:54,0.392s,PASSED
"click(findTestObject(""HomePage/FirstProduct_plp""))",Chrome 116.0.0.0,,,2023-09-04 08:35:54,2023-09-04 08:36:46,52.390s,PASSED
"click(findTestObject(""PDPPage/AddToCart_pdp""))",Chrome 116.0.0.0,,,2023-09-04 08:36:46,2023-09-04 08:37:04,18.136s,PASSED
"click(findTestObject(""PLPPage/ProtectYourPurchase_plp""))",Chrome 116.0.0.0,,,2023-09-04 08:37:04,2023-09-04 08:37:04,0.002s,NOT_RUN
"click(findTestObject(""HomePage/Cart_header""))",Chrome 116.0.0.0,,,2023-09-04 08:37:04,2023-09-04 08:37:07,3.034s,PASSED
"click(findTestObject(""CartPage/BuyButton_Cart""))",Chrome 116.0.0.0,,,2023-09-04 08:37:07,2023-09-04 08:37:41,33.845s,FAILED
,,,,,,,
Test Cases/ShoppingCart/TS_SMOKE_SUITE_027,Chrome 116.0.0.0,To verify that the user is able to create account from shopping cart page,,2023-09-04 08:37:41,2023-09-04 08:39:21,1m - 39.421s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 116.0.0.0,,,2023-09-04 08:37:41,2023-09-04 08:38:08,27.364s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SL], STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-09-04 08:38:09,2023-09-04 08:38:20,11.095s,PASSED
waitForPageLoad(0),Chrome 116.0.0.0,,,2023-09-04 08:38:20,2023-09-04 08:38:20,0.054s,PASSED
"click(findTestObject(""HomePage/FirstProduct_plp""))",Chrome 116.0.0.0,,,2023-09-04 08:38:20,2023-09-04 08:38:30,9.504s,PASSED
