Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
browserAndShop,Chrome 115.0.0.0,,,2023-08-11 11:02:28,2023-08-11 11:10:39,8m - 10.798s,FAILED
,,,,,,,
Test Cases/Browse and Shop/TS_SMOKE_SUITE_039,Chrome 115.0.0.0,To verify that the breadcrumbs are clickable when user has landed on L1 category page.,,2023-08-11 11:02:28,2023-08-11 11:04:04,1m - 35.502s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-11 11:02:29,2023-08-11 11:02:32,3.436s,PASSED
navigateToUrl(url),Chrome 115.0.0.0,,,2023-08-11 11:02:32,2023-08-11 11:03:37,1m - 4.440s,PASSED
"mouseOver(findTestObject(""HomePage/Departamentos""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-11 11:03:37,2023-08-11 11:03:37,0.774s,PASSED
"click(findTestObject(""HomePage/L1_Category1_HP""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-11 11:03:37,2023-08-11 11:03:38,0.807s,PASSED
"verifyElementClickable(findTestObject(""CLPPage/breadCrumb_clp""))",Chrome 115.0.0.0,,,2023-08-11 11:03:38,2023-08-11 11:04:03,24.605s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-11 11:04:03,2023-08-11 11:04:04,0.904s,PASSED
,,,,,,,
Test Cases/Browse and Shop/TS_SMOKE_SUITE_047,Chrome 115.0.0.0,To verify the display of facets on the item listing page,,2023-08-11 11:04:04,2023-08-11 11:05:52,1m - 48.275s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-11 11:04:04,2023-08-11 11:04:06,1.551s,PASSED
navigateToUrl(url),Chrome 115.0.0.0,,,2023-08-11 11:04:06,2023-08-11 11:04:46,40.803s,PASSED
"mouseOver(findTestObject(""HomePage/Departamentos""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-11 11:04:46,2023-08-11 11:04:47,0.729s,PASSED
"click(findTestObject(""HomePage/L1_Category1_HP""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-11 11:04:47,2023-08-11 11:04:48,0.646s,PASSED
"click(findTestObject(""CLPPage/SubCategory2_leftmenu_CLP""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-11 11:04:48,2023-08-11 11:05:10,21.713s,PASSED
"click(findTestObject(""CLPPage/SubCategory3_leftmenu_CLP""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-11 11:05:10,2023-08-11 11:05:13,3.802s,PASSED
"verifyElementClickable(findTestObject(""CLPPage/breadCrumb_clp""))",Chrome 115.0.0.0,,,2023-08-11 11:05:13,2023-08-11 11:05:20,6.736s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/CategoríasTitleFacet_PLP""), 0)",Chrome 115.0.0.0,,,2023-08-11 11:05:20,2023-08-11 11:05:20,0.342s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/DescontousTitleFacet_PLP""), 0)",Chrome 115.0.0.0,,,2023-08-11 11:05:20,2023-08-11 11:05:52,31.603s,FAILED
,,,,,,,
Test Cases/Browse and Shop/TS_SMOKE_SUITE_048,Chrome 115.0.0.0,To verify the display of price range on the item listing page for multi sku items.,,2023-08-11 11:05:52,2023-08-11 11:07:20,1m - 27.820s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-11 11:05:52,2023-08-11 11:05:55,2.372s,PASSED
navigateToUrl(url),Chrome 115.0.0.0,,,2023-08-11 11:05:55,2023-08-11 11:06:37,42.505s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""vaso""], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-11 11:06:37,2023-08-11 11:06:49,11.225s,PASSED
"a = getText(findTestObject(""PLPPage/product1_cardPrice_PLP""))",Chrome 115.0.0.0,"verify price range
",,2023-08-11 11:06:49,2023-08-11 11:07:20,31.332s,FAILED
,,,,,,,
Test Cases/Browse and Shop/TS_SMOKE_SUITE_058,Chrome 115.0.0.0,"To verify the display of Description slot in PDP with following tabs. 

Long Description
Manual
Delivery Details
Size/Dimensions
LP Card Promotion
Other Card Promotion",,2023-08-11 11:07:20,2023-08-11 11:10:39,3m - 18.733s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-11 11:07:20,2023-08-11 11:07:23,2.298s,PASSED
navigateToUrl(url),Chrome 115.0.0.0,,,2023-08-11 11:07:23,2023-08-11 11:08:09,46.329s,PASSED
"callTestCase(findTestCase(""CommonMethods/login_odtaqab""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-11 11:08:09,2023-08-11 11:08:57,48.076s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""1000719079""], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-11 11:08:57,2023-08-11 11:09:45,47.622s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/mas detalis(more detail)""))",Chrome 115.0.0.0,,,2023-08-11 11:09:45,2023-08-11 11:10:07,22.576s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/EDD_pdp""))",Chrome 115.0.0.0,,,2023-08-11 11:10:07,2023-08-11 11:10:39,31.444s,FAILED
